iter	Passed	Remaining
0	0	84
1	1	74
2	2	72
3	2	67
4	3	67
5	4	66
6	5	67
7	5	65
8	6	65
9	7	64
10	7	63
11	8	62
12	8	60
13	9	58
14	10	56
15	10	55
16	11	54
17	11	53
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	15	45
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	30	26
53	30	26
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	55	0
