iter	Passed	Remaining
0	135	135182
1	137	68488
2	138	46072
3	139	34794
4	140	28005
5	141	23493
6	142	20260
7	143	17852
8	145	15966
9	146	14457
10	147	13227
11	148	12261
12	150	11397
13	151	10670
14	152	10023
15	153	9463
16	154	8952
17	155	8501
18	156	8094
19	157	7724
20	158	7395
21	159	7106
22	160	6833
23	163	6647
24	164	6415
25	165	6201
26	166	6001
27	167	5818
28	168	5650
29	169	5494
30	171	5348
31	172	5204
32	173	5070
33	174	4945
34	175	4836
35	176	4738
36	178	4636
37	179	4537
38	180	4441
39	181	4350
40	182	4268
41	183	4187
42	184	4109
43	185	4037
44	186	3965
45	187	3894
46	188	3827
47	190	3786
48	192	3736
49	193	3681
50	194	3626
51	195	3572
52	197	3522
53	198	3477
54	199	3430
55	200	3383
56	201	3336
57	203	3297
58	204	3269
59	206	3234
60	207	3194
61	208	3155
62	209	3116
63	210	3078
64	211	3044
65	212	3009
66	213	2974
67	214	2940
68	215	2906
69	216	2871
70	217	2842
71	218	2821
72	220	2803
73	221	2772
74	222	2743
75	223	2714
76	223	2684
77	224	2658
78	225	2632
79	226	2604
80	227	2577
81	227	2551
82	228	2522
83	228	2497
84	229	2472
85	230	2448
86	231	2425
87	233	2418
88	234	2399
89	235	2382
90	236	2361
91	237	2342
92	238	2323
93	239	2306
94	240	2287
95	240	2267
96	241	2248
97	242	2229
98	242	2210
99	243	2192
100	244	2176
101	245	2159
102	246	2143
103	248	2139
104	249	2127
105	251	2117
106	252	2104
107	253	2090
108	254	2077
109	254	2062
110	255	2049
111	256	2035
112	257	2021
113	258	2007
114	258	1992
115	259	1979
116	261	1972
117	262	1961
118	263	1951
119	264	1940
120	265	1928
121	266	1914
122	266	1902
123	267	1891
124	268	1878
125	269	1866
126	269	1853
127	270	1841
128	271	1830
129	271	1818
130	272	1807
131	273	1796
132	273	1785
133	274	1774
134	276	1771
135	277	1762
136	278	1754
137	279	1745
138	280	1735
139	280	1726
140	281	1715
141	282	1705
142	282	1695
143	283	1685
144	284	1675
145	284	1666
146	285	1657
147	286	1647
148	286	1638
149	287	1630
150	288	1621
151	289	1612
152	290	1609
153	291	1602
154	292	1596
155	293	1588
156	294	1581
157	295	1573
158	296	1566
159	296	1558
160	297	1549
161	297	1541
162	298	1533
163	299	1525
164	299	1518
165	300	1510
166	301	1503
167	302	1495
168	302	1488
169	303	1481
170	305	1480
171	306	1476
172	307	1471
173	308	1464
174	309	1458
175	310	1451
176	311	1446
177	311	1440
178	312	1434
179	313	1427
180	314	1421
181	314	1414
182	315	1408
183	316	1401
184	316	1395
185	317	1389
186	318	1383
187	320	1385
188	322	1382
189	323	1377
190	324	1372
191	324	1367
192	325	1361
193	326	1356
194	327	1352
195	328	1346
196	329	1342
197	330	1337
198	331	1332
199	331	1327
200	333	1326
201	335	1326
202	337	1324
203	338	1319
204	338	1314
205	339	1309
206	340	1304
207	341	1299
208	341	1294
209	342	1289
210	343	1284
211	344	1279
212	344	1274
213	345	1269
214	346	1264
215	347	1260
216	349	1260
217	350	1257
218	351	1255
219	352	1251
220	353	1247
221	354	1242
222	355	1237
223	355	1233
224	356	1229
225	357	1225
226	358	1222
227	359	1218
228	360	1215
229	361	1211
230	363	1210
231	365	1209
232	366	1208
233	368	1204
234	368	1200
235	369	1197
236	370	1193
237	371	1189
238	372	1185
239	373	1182
240	374	1179
241	375	1175
242	376	1171
243	378	1173
244	379	1170
245	380	1167
246	381	1163
247	382	1159
248	383	1156
249	384	1152
250	384	1148
251	385	1144
252	386	1140
253	386	1136
254	387	1132
255	388	1128
256	389	1124
257	389	1121
258	390	1117
259	391	1114
260	393	1114
261	394	1111
262	395	1108
263	396	1104
264	397	1101
265	397	1097
266	398	1094
267	399	1090
268	400	1087
269	400	1083
270	401	1080
271	402	1076
272	402	1072
273	403	1069
274	404	1065
275	404	1062
276	405	1058
277	407	1058
278	408	1055
279	409	1052
280	410	1049
281	411	1046
282	411	1043
283	412	1040
284	413	1036
285	414	1033
286	414	1030
287	415	1027
288	416	1024
289	417	1021
290	417	1017
291	418	1014
292	419	1011
293	419	1007
294	420	1006
295	421	1003
296	422	1000
297	423	997
298	424	995
299	425	992
300	426	989
301	426	986
302	427	983
303	428	980
304	428	977
305	429	974
306	430	971
307	430	968
308	431	965
309	432	962
310	432	959
311	433	956
312	434	953
313	435	951
314	436	949
315	437	947
316	438	945
317	439	942
318	440	940
319	441	937
320	441	934
321	442	931
322	443	928
323	443	925
324	444	923
325	445	920
326	445	917
327	446	915
328	447	912
329	447	909
330	448	906
331	449	903
332	450	903
333	452	901
334	453	899
335	454	897
336	455	895
337	455	892
338	456	890
339	457	887
340	457	884
341	458	882
342	459	879
343	459	877
344	460	874
345	461	871
346	461	869
347	462	866
348	463	863
349	463	861
350	465	860
351	467	860
352	468	858
353	469	856
354	470	854
355	471	852
356	471	849
357	472	847
358	473	845
359	474	842
360	474	840
361	475	837
362	476	835
363	476	833
364	477	830
365	478	828
366	480	829
367	487	838
368	489	836
369	490	834
370	491	832
371	492	830
372	493	828
373	494	827
374	495	826
375	497	825
376	498	823
377	499	822
378	500	820
379	501	817
380	502	815
381	502	813
382	503	811
383	504	809
384	505	807
385	506	805
386	506	802
387	507	800
388	508	798
389	509	797
390	511	796
391	512	794
392	513	793
393	514	791
394	515	789
395	516	787
396	516	785
397	517	782
398	518	780
399	519	778
400	519	776
401	520	774
402	521	771
403	521	769
404	522	767
405	524	766
406	525	765
407	526	763
408	527	761
409	528	760
410	529	758
411	530	756
412	530	754
413	531	752
414	532	750
415	532	748
416	533	745
417	534	743
418	535	742
419	535	740
420	536	737
421	537	736
422	538	734
423	540	733
424	541	732
425	542	730
426	543	728
427	543	726
428	544	724
429	545	723
430	546	721
431	546	719
432	547	717
433	548	715
434	549	713
435	549	711
436	550	709
437	551	707
438	552	706
439	554	705
440	555	704
441	556	702
442	557	701
443	558	699
444	559	697
445	560	696
446	561	694
447	562	692
448	562	690
449	563	688
450	564	686
451	564	684
452	565	683
453	567	682
454	568	681
455	569	679
456	571	678
457	572	677
458	573	675
459	573	673
460	574	671
461	575	669
462	575	667
463	576	665
464	577	664
465	578	662
466	578	660
467	579	658
468	579	656
469	580	655
470	582	653
471	583	652
472	585	651
473	585	650
474	586	648
475	587	646
476	588	644
477	589	643
478	589	641
479	590	639
480	591	638
481	592	636
482	592	634
483	593	632
484	594	630
485	594	629
486	597	629
487	598	627
488	599	626
489	600	625
490	601	623
491	602	622
492	603	620
493	604	618
494	604	617
495	605	615
496	606	613
497	607	611
498	608	610
499	608	608
500	609	607
501	611	606
502	612	605
503	614	604
504	615	603
505	616	602
506	617	600
507	618	598
508	619	597
509	619	595
510	621	594
511	621	592
512	622	590
513	623	589
514	623	587
515	624	585
516	625	584
517	627	583
518	628	582
519	629	580
520	630	579
521	631	577
